,Borough,Neighborhood,ID,Name,Venue_lat,Venue_lng,Likes,Rating,Tips,Price_message,Price_tier
0,Bronx,Riverdale,4b94a4a2f964a520787f34e3,Nam Thai,40.886388,-73.910025,3,7.1,5,Moderate,2
1,Manhattan,Marble Hill,4a739e29f964a520f5dc1fe3,Siam Square,40.8787962348852,-73.91670090763066,15,7.3,13,Moderate,2
2,Bronx,Country Club,4b4c90d3f964a52046b626e3,Honey's Thai Pavilion,40.84784479852375,-73.83131988215105,19,7.3,27,Cheap,1
3,Bronx,Parkchester,5585c948498e0bd8a8a706f1,Thai Cuisine,40.838048,-73.863917,17,7.2,1,Moderate,2
4,Bronx,Pelham Bay,0,0,40.85139465332031,-73.84365844726562,0,0.0,0,Moderate,2
5,Bronx,Pelham Bay,0,0,40.851394,-73.843808,0,0.0,0,Moderate,2
6,Brooklyn,Bay Ridge,50e8d45ae4b06202fbe39b08,Top Thai,40.62323607887372,-74.02817264059681,14,7.2,11,Moderate,2
7,Brooklyn,Sunset Park,4accd335f964a520a8c920e3,Mai Thai,40.642773188863394,-74.00200987323561,10,6.6,9,Moderate,2
8,Brooklyn,Flatbush,593b1eabfc9e940adf8a5da1,Mondayoff By Plant Love House,40.63915760197772,-73.96881082984439,24,7.5,10,Moderate,2
9,Brooklyn,Crown Heights,596ffbcadee77066f36be772,Ruammit Thai,40.67314620843703,-73.95020548637376,26,8.5,6,Moderate,2
10,Brooklyn,Kensington,54daa265498e58e310cae373,Sawasde Thai Cooking,40.645311,-73.979805,19,8.5,5,Moderate,2
11,Brooklyn,Kensington,5bbf7c31418686002c49a6a1,Thai Farm Kitchen,40.64414842434787,-73.97604655841916,36,8.9,13,Moderate,2
12,Brooklyn,Kensington,4b36a0f5f964a5207b3925e3,To Be Thai,40.642891374675024,-73.97833412411897,17,7.9,16,Moderate,2
13,Brooklyn,Kensington,4f235fb4e4b04f6e681be393,AM Thai Bistro,40.646809999999995,-73.9701623,96,7.9,53,Moderate,2
14,Brooklyn,Windsor Terrace,50856d05e4b0ee1f10c48013,Jai Dee Thai Restaurant,40.66407001703927,-73.98396326318215,23,7.5,4,Moderate,2
15,Brooklyn,Prospect Heights,56773ac0498e301585915c6f,LOOK by Plant Love House,40.6799414586479,-73.96432512199156,175,8.5,47,Cheap,1
16,Brooklyn,Prospect Heights,57117904498eea6297e41d0a,Muse,40.67659358164728,-73.96350255226993,44,7.8,7,Moderate,2
17,Brooklyn,Prospect Heights,58fe480bda708012683cda5f,Nourish Thai Food Oasis,40.67798236449783,-73.96868742422106,54,7.9,12,Moderate,2
18,Brooklyn,Williamsburg,5df175e82276e2000744dc8b,Noods n’ Chill,40.711936,-73.961077,26,8.4,6,Moderate,2
19,Brooklyn,Bushwick,5af62c30d807ee002cb0d322,Klom Klorm,40.7030253107186,-73.9170906082932,66,8.7,14,Moderate,2
20,Brooklyn,Brooklyn Heights,476f8da1f964a520044d1fe3,Lantern Thai Kitchen,40.69516848345413,-73.99562112798172,155,7.7,73,Moderate,2
21,Brooklyn,Brooklyn Heights,568f0a26498e56870db2c2ce,Pinto,40.694758432958814,-73.994280065657,48,7.6,17,Moderate,2
22,Brooklyn,Cobble Hill,4112ca00f964a520ed0b1fe3,Joya,40.68670796457312,-73.99371822043527,317,8.2,160,Moderate,2
23,Brooklyn,Carroll Gardens,59985da3da5e5606a926b53d,Ugly Baby,40.67801930527555,-73.99613921080501,299,8.8,77,Moderate,2
24,Brooklyn,Carroll Gardens,5a959bf0646e38268740806b,Boran,40.678160889841436,-73.9979304582126,31,8.2,9,Moderate,2
25,Brooklyn,Red Hook,5dd9e8cf2e6b8600081ec98d,Somtum Der,40.67707,-74.013306,11,8.4,1,Moderate,2
26,Brooklyn,Fort Greene,54ea1fc3498e51bac940c79e,Thaiholic,40.69323256143289,-73.97129868016181,75,8.6,29,Moderate,2
27,Brooklyn,Fort Greene,5be3751ed552c7002cfb65ca,Ace Thai Kitchen,40.69313,-73.973225,9,8.3,3,Moderate,2
28,Brooklyn,Park Slope,453f6ce3f964a520353c1fe3,Song Thai Restaurant & Bar,40.67348918684329,-73.98259318840869,229,8.1,122,Cheap,1
29,Brooklyn,Clinton Hill,4a709d9ff964a520f6d71fe3,Thai 101,40.69321985502257,-73.96752715831622,51,8.0,38,Moderate,2
30,Brooklyn,Downtown,5c56083dc58ed7002c3255d0,Charm Kao,40.689212,-73.98625,42,9.1,7,Moderate,2
31,Brooklyn,Prospect Lefferts Gardens,5d4f31a92ada380008a49b7f,Amy Thai Bistro,40.660705,-73.960513,14,9.0,7,Moderate,2
32,Brooklyn,East Williamsburg,4fc01ea6e4b0e4e80c70cf1d,Sage Brooklyn,40.71306007524032,-73.94420151920066,512,8.7,124,Moderate,2
33,Manhattan,Chinatown,5cc4e9d0c876c8002c3010cb,Wayla,40.7182908437571,-73.99258397519587,139,9.4,29,Moderate,2
34,Manhattan,Chinatown,5e46e2ec5791a10008c55728,Thai Diner,40.720739,-73.995631,57,9.3,10,Moderate,2
35,Manhattan,Washington Heights,5809511c38fafba1ec352126,Tung Thong,40.851109976169056,-73.93921985006985,7,6.8,2,Moderate,2
36,Manhattan,East Harlem,55a85a66498e68da40bc7212,Malii,40.789524977200365,-73.94323226322045,20,8.4,9,Moderate,2
37,Manhattan,East Harlem,5a68fb506336be407ef635ab,Bangklyn East Harlem,40.790287,-73.943054,6,7.6,2,Moderate,2
38,Manhattan,East Harlem,5303fc3c11d250deaaf46b56,Absolute Thai Restaurant,40.78920165381754,-73.94844039571389,7,8.0,4,Moderate,2
39,Manhattan,East Harlem,549cd5bf498eec334637c27b,Pro Thai,40.788988956121365,-73.94866168268142,14,7.0,6,Moderate,2
40,Manhattan,Upper East Side,5997796d603d2a7019b8c58e,THEP Thai Restaurant,40.77074334700357,-73.95705953980662,88,8.9,24,Moderate,2
41,Manhattan,Yorkville,57f81d9e498e82d3766ccce8,PuTawn Local Thai Kitchen,40.77459861106953,-73.95104174611885,27,8.9,8,Moderate,2
42,Manhattan,Lenox Hill,52be229211d2aabfe6f24d20,Up Thai,40.76989759006919,-73.9575976933572,637,9.2,163,Moderate,2
43,Manhattan,Upper West Side,42951180f964a52045241fe3,Land Thai Kitchen,40.78486751358464,-73.97712178279812,341,8.4,146,Moderate,2
44,Manhattan,Upper West Side,54600d4a498e6bb7ceb3567d,Senn Thai Comfort Food,40.78488,-73.976934,61,7.7,24,Moderate,2
45,Manhattan,Clinton,51ea0c7b8bbd8c94347df35d,OBAO Hell's Kitchen,40.76056300016482,-73.99108715100483,547,8.1,145,Moderate,2
46,Manhattan,Murray Hill,5424bb1b498ecea0c85b6b43,Lan Larb Midtown,40.74533363204334,-73.9755277555111,80,8.4,31,Moderate,2
47,Manhattan,Manhattan Valley,49dfbfabf964a52009611fe3,Thai Market,40.80127003774722,-73.96514080681695,393,8.2,123,Moderate,2
48,Manhattan,Manhattan Valley,5516db98498e3f164dbdcb6e,Spice,40.8016900821996,-73.96476016158024,34,7.5,6,Moderate,2
49,Manhattan,Gramercy,5ee66a36459579000887cd2b,Soothr,40.732287,-73.987287,30,9.2,5,Moderate,2
50,Manhattan,Gramercy,5c82ac6951950e0039187d89,Nana Thai Street,40.739568,-73.988513,14,8.4,12,Moderate,2
51,Queens,Astoria,57fee854498e2fe6a134e544,Pochana Thai Kitchen,40.765866836189865,-73.91925648391081,46,8.0,17,Moderate,2
52,Queens,Astoria,51f32456498e149384c052df,Enthaice,40.76316509784422,-73.92114974055457,141,9.0,49,Moderate,2
53,Queens,Woodside,3fd66200f964a5204ef11ee3,SriPraPhai,40.7463421117063,-73.89924799709517,766,9.0,358,Moderate,2
54,Queens,Woodside,4a7f6626f964a520e8f31fe3,Thailand's Center Point,40.74653126911064,-73.90024748864485,23,8.1,21,Moderate,2
55,Queens,Woodside,4bedd3e8a40fc928d193820c,Sweet Basil,40.74648420263391,-73.90303279550324,16,7.4,13,Cheap,1
56,Queens,Woodside,57608fb1498e9796802dc2b4,Jaew Hon,40.74650487891514,-73.89381232695563,22,8.6,3,Moderate,2
57,Queens,Jackson Heights,560f2343498e6d1819390cb4,Sompong Thai,40.749506948439134,-73.88332349454004,11,8.4,3,Moderate,2
58,Queens,Jackson Heights,5424a7a2498ec9a9cdb36746,Black Thai,40.75546531349948,-73.8856754700667,25,8.4,7,Moderate,2
59,Queens,Jackson Heights,53af884e498e0a4a4943f670,Kitchen 79,40.74759475929948,-73.88684425477783,63,8.4,12,Moderate,2
60,Queens,Jackson Heights,4a7b6d8ff964a520fcea1fe3,Arunee Thai,40.749498111391844,-73.88738656779498,69,8.0,55,Moderate,2
61,Queens,Jackson Heights,52f693e6498ed9d2a3fbad75,Eim Khao Mun Kai Elmhurst อิ่ม ข้าวมันไก่เอ็มเฮิสท์,40.74301419509326,-73.8830565603355,98,8.7,26,Cheap,1
62,Queens,Elmhurst,5abad6379de23b5eeb077b04,Lamoon,40.74285049616353,-73.88291281240058,34,8.6,9,Moderate,2
63,Queens,Elmhurst,56e210f7cd102122a9fb1d1b,Dek Sen,40.741753,-73.87869599999999,34,8.4,3,Moderate,2
64,Queens,Elmhurst,4b26f895f964a5209d8324e3,Ayada Thai,40.74346877522566,-73.88755206484345,294,9.0,124,Moderate,2
65,Queens,Elmhurst,593f6541123a19687791b390,Hug Esan NYC,40.74363967925668,-73.88739194659337,23,8.8,3,Moderate,2
66,Queens,Elmhurst,53d53756498e2a83f3c2aadb,Paet Rio,40.74328084048648,-73.88352539348799,21,7.6,12,Moderate,2
67,Queens,Elmhurst,531372e9498ebd3be2888afc,Khao Kang ข้าวแกง,40.7434045536266,-73.88809859529692,64,8.4,23,Moderate,2
68,Queens,Elmhurst,4ad15d63f964a5203ede20e3,Spicy Shallot,40.74360779755604,-73.88793849762466,97,8.3,59,Moderate,2
69,Queens,Elmhurst,4c2e801d3ffc952130568ff5,Boon Chu Thai Restaurant,40.74069431922803,-73.87946577082448,31,7.8,30,Cheap,1
70,Queens,Forest Hills,46b1ef0df964a520a0491fe3,Bangkok Cuisine,40.72106157925685,-73.84543184469939,62,8.7,34,Cheap,1
71,Queens,Long Island City,5574d051498ed29e025087a4,House of Thai,40.75349378559224,-73.93787824622585,57,7.5,13,Moderate,2
72,Queens,Sunnyside,57346238498e19234e93e838,Thai Diva Cuisine,40.74145191465704,-73.91904537430251,20,7.7,8,Moderate,2
73,Queens,Rego Park,4bc90857937ca5936d19a592,Thai Pot,40.72472006801557,-73.85001317851223,16,6.2,12,Cheap,1
74,Queens,Woodhaven,4b6b6ee9f964a5207f082ce3,Thailand Kitchen Corp.,40.69265417236722,-73.8579874136706,11,6.4,11,Moderate,2
75,Queens,South Ozone Park,505e482fe4b0ad0a3ed7c2e8,Nanking Asian fusion,40.67464621915444,-73.80375934580849,29,9.0,12,Moderate,2
76,Queens,Bayside,4b799160f964a52001022fe3,Erawan Thai Cuisine,40.76179659002517,-73.77004981040953,47,7.7,18,Moderate,2
77,Queens,Bayside,51ca39db498e3d72a5e15d8a,Thai 101,40.764871819524046,-73.77159487681543,15,6.9,5,Moderate,2
78,Queens,Auburndale,5415d184498ed5a1b577d16c,Thanya,40.76623587799664,-73.78946469494464,9,6.5,3,Moderate,2
79,Queens,Little Neck,0,0,40.76535849539072,-73.74418224074361,0,0.0,0,Moderate,2
80,Queens,Glen Oaks,4bb14694f964a520f5883ce3,Asian Bowl Thai Cuisine,40.74237822027764,-73.72167563025961,9,6.7,7,Cheap,1
81,Queens,Fresh Meadows,5ae3a6fda30619002c1490a9,Kin'd Thai,40.73012666833984,-73.77841189617891,16,8.4,1,Moderate,2
82,Queens,Jamaica Center,51cd0030498e1874e3954776,Amina Thai,40.71089655510882,-73.79233007734564,12,6.9,4,Moderate,2
83,Queens,Steinway,457d4c15f964a5201a3f1fe3,Thai Elephant,40.77774433470393,-73.90880785699075,24,7.7,18,Moderate,2
84,Queens,Steinway,595c10c61de76542ca750a50,San Aroy,40.77493948201278,-73.91372844064065,7,7.8,2,Moderate,2
85,Queens,Arverne,527ef74d11d257effa558059,Thai Kitchen By The Sea,40.59082253627518,-73.79670566426822,15,7.0,11,Moderate,2
86,Queens,Rockaway Beach,0,0,40.582931,-73.817617,0,0.0,0,Moderate,2
87,Queens,Ravenswood,53701e2e498e0a21ab0bbb59,Pye Boat Noodle,40.76032367528069,-73.92171077546482,319,9.1,91,Cheap,1
88,Queens,Ravenswood,4ab7badef964a5209d7a20e3,Leng Thai,40.76129111573629,-73.92320684281553,87,7.9,58,Moderate,2
89,Queens,Ravenswood,5a25fc1d9411f22a375e80d8,Hero Thai & Izakaya,40.760529733200286,-73.92242730847313,15,8.1,9,Moderate,2
90,Queens,Lefrak City,0,0,40.728227000000004,-73.864049,0,0.0,0,Moderate,2
91,Staten Island,St. George,0,0,40.643692,-74.077957,0,0.0,0,Moderate,2
92,Staten Island,Port Richmond,4b7c698af964a520bc912fe3,Forest Thai Cuisine,40.626522775388366,-74.13037822911718,13,7.3,20,Moderate,2
93,Staten Island,Graniteville,51734440e4b093690645e66b,Empire East Richmond Ave,40.61197242132444,-74.15746278082396,7,7.5,5,Moderate,2
94,Manhattan,Noho,57c169e3498e784947e307aa,Fish Cheeks,40.72586100363351,-73.99253343981425,448,9.4,122,Expensive,3
95,Manhattan,Sutton Place,4afca7e0f964a520d02422e3,OBAO Midtown,40.75727513834895,-73.96854069266344,387,8.2,166,Moderate,2
96,Queens,Hunters Point,49cfd074f964a520ce5a1fe3,Tuk Tuk,40.74314207648646,-73.95402068036339,251,8.5,118,Moderate,2
97,Manhattan,Flatiron,57e83df3498eebbe238cb36f,Thai Villa,40.739118324714035,-73.99057903842908,427,9.1,72,Expensive,3
98,Queens,Sunnyside Gardens,4bf5e3f05e800f472e80e6d4,I Am Thai Restaurant,40.7445497963552,-73.91519565611054,25,7.4,12,Moderate,2
